uid,title,slug,simple-date,filename,date,worktype,categories,image-url,item-url,episode-title,episode-url
item187,Slow Burn,slow-burn,2016-03-12,2016-03-12-slow-burn,2016-03-12 01:01:01,"""Development""",book,"41s-Nk5XxdL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FSlow-Burn-Faster-Exercising-Slower%2Fdp%2F0062736744%2F,"Rick Rubin on Cultivating World-Class Artists (Jay Z, Johnny Cash, etc.), Losing 100+ Pounds, and Breaking Down The Complex",http://fourhourworkweek.com/2015/05/15/rick-rubin/
item188,Slow Sex,slow-sex,2016-03-11,2016-03-11-slow-sex,2016-03-11 01:01:01,"""Development""",book,"41jEOw9VFdL._SX218_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FSlow-Sex-Female-Orgasm-Paperback%2Fdp%2FB00FKY8LSO%2F,Tony Robbins and Peter Diamandis (XPRIZE) on the Magic of Thinking BIG,http://fourhourworkweek.com/2014/10/07/global-learning-xprize/
item189,Small Giants,small-giants,2016-03-10,2016-03-10-small-giants,2016-03-10 01:01:01,"""Development""",book,"41w5o5WZ5TL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FSmall-Giants-Companies-Choose-Instead%2Fdp%2F1591841496%2F,"How One Computer Hacker Conquered Online Dating, Opens Locked Cars, and More",http://fourhourworkweek.com/2015/05/02/samy-kamkar/
item190,Smartcuts,smartcuts,2016-03-09,2016-03-09-smartcuts,2016-03-09 01:01:01,"""Development""",book,"51ponYxAfKL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FSmartcuts-Hackers-Innovators-Accelerate-Success%2Fdp%2F0062302450%2F,"How One Computer Hacker Conquered Online Dating, Opens Locked Cars, and More",http://fourhourworkweek.com/2015/05/02/samy-kamkar/
item191,Snow Crash,snow-crash,2016-03-08,2016-03-08-snow-crash,2016-03-08 01:01:01,"""Development""",book,"5192EnTxNQL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FSnow-Crash-Bantam-Spectra-Book%2Fdp%2F0553380958%2F,"The Tim Ferriss Show: Interview of Kevin Kelly, Co-Founder of WIRED, Polymath, Most Interesting Man In The World?",http://fourhourworkweek.com/2014/08/29/kevin-kelly/
item85,So Good They Can’t Ignore You,so-good-they-cant-ignore-you,2016-03-07,2016-03-07-so-good-they-cant-ignore-you,2016-03-07 01:01:01,"""Development""",book,"51IjORMFLkL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FGood-They-Cant-Ignore-You%2Fdp%2F1455509124%2F,"The Tim Ferriss Show: Interview of Kevin Kelly, Co-Founder of WIRED, Polymath, Most Interesting Man In The World?",http://fourhourworkweek.com/2014/08/29/kevin-kelly/
item193,Sony MDR 7506 HeadPhones,sony-mdr-7506-headphones,2016-03-06,2016-03-06-sony-mdr-7506-headphones,2016-03-06 01:01:01,"""Development""",object,,http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FSony-MDR7506-Professional-Diaphragm-Headphone%2Fdp%2FB000AJIF4E%2F,How to Create a Blockbuster Podcast,http://fourhourworkweek.com/2015/01/29/alex-blumberg/
item194,Spark,spark,2016-03-05,2016-03-05-spark,2016-03-05 01:01:01,"""Development""",book,"51CbFW49qrL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FSpark-Revolutionary-Science-Exercise-Brain%2Fdp%2F0316113514%2F,"The Tim Ferriss Show, Episode 12: Dr. Rhonda Patrick on Life Extension, Performance, and Much More",http://fourhourworkweek.com/2014/06/10/the-tim-ferriss-show-rhonda-patrick-life-extension/
item195,Spartan Up!: A Take-No-Prisoners Guide to Overcoming Obstacles and Achieving Peak Performance in Life,spartan-up-a-take-no-prisoners-guide-to-overcoming-obstacles-and-achieving-peak-performance-in-life,2016-03-04,2016-03-04-spartan-up-a-take-no-prisoners-guide-to-overcoming-obstacles-and-achieving-peak-performance-in-life,2016-03-04 01:01:01,"""Development""",book,"51ccv42Q2SL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FSpartan-Take-No-Prisoners-Overcoming-Obstacles-Performance%2Fdp%2F0544286170%2F,"The Tim Ferriss Show, Episode 16: Joe De Sena on Grit, Endurance, and Building Empires",http://fourhourworkweek.com/2014/07/01/spartan-race/
item196,Spectacle,spectacle,2016-03-03,2016-03-03-spectacle,2016-03-03 01:01:01,"""Development""",book,"418eOHIzwXL._SX218_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FSpectacle-David-Rockwell%2Fdp%2F0714845744%2F,"Ed Cooke, Grandmaster of Memory, on Mental Performance, Imagination, and Productive Mischief",http://fourhourworkweek.com/2014/12/30/ed-cooke/
item197,SPIN Selling,spin-selling,2016-03-02,2016-03-02-spin-selling,2016-03-02 01:01:01,"""Development""",book,"51ay1tLmaHL._SY291_BO1,204,203,200_QL40_.jpg",http://geni.us/RkV3DvD,"How One Computer Hacker Conquered Online Dating, Opens Locked Cars, and More",http://fourhourworkweek.com/2015/05/02/samy-kamkar/
